name,cost,type,rules,flavor,metatype,name2,cost2,type2,rules2
Paradise Thopter,WUBRG,Artifact Creature - Thopter (2/2),"
Flying

Spells cost all players up to 2 less to cast","--Humanity collapses the mask
– Scrith Aegleeshea the Dauntless, Novice Shaman of the Endless Castle",,,,,
Birdeater Ratpack,1B,Artifact Creature - Rat Minion (2/2),"
Whenever ~this~ is dealt damage, target nonblue creature gets -1/-1 until end of turn","--His owl transcends even the hugest month
– Iklunia, Priest Traitor, Novice Novice of the Shimmering Palace",,,,,
Burngrip Dragonnewt,WUBRG,Creature - Dragon (3/1),"
Flying

Whenever ~this~ deals combat damage to a creature, you may Sacrifice a creature. If you don't, put a +1/+1 counter on ~this~

Tap an untapped nonlandpermanent you control, remove a +1/+1 counter from ~this~: all creatures get +4/+0 until end of turn

Remove a +1/+1 counter from ~this~: ~this~ deals 1 damage to each of two target players. If a creature damaged this way would be put into a graveyard this turn, exile it instead

4: attach target Equipment to target creature. Gain control of that Equipment until end of turn and gain control of that Equipment (This effect doesn't end)","--The hugest answer may burn
– Shining (unknown)",,,,,
Keep your Secrets,B,Instant,"
You reveal cards from the top of your library until you reveal a card, put that card into hand, and put the rest on top of your library in any order

Scry 2",-Alright then.,,,,,
Sleek Drainkin,1BB,Creature - Zombie Goblin Rogue (1/1),"
Discard a card, Pay 3 life: ~this~ deals 3 damage to target player. When that player casts a instant or sorcery spell this turn, flip ~this~.",,kami,"Buko, the Flooder",,Legendary Creature - Zombie Goblin Rogue (2/4),"Sacrifice ~this~, Tap an untapped blue permanent you control: destroy target creature"
Woodland Sactum,,Land,"
T: add G to your mana pool

Threshold - If you have seven or more cards in your graveyard, All Clerics gain protection from black",,,,,,
Song of Golems Strain,1,Enchantment,"
Pay 4 life: copy target colourless Generated spell and you may choose new targets for the copy

All untapped Golems get +1/-1","--His drum sings the proper string yet may catch the confused juice
– Odin",,,,,
Spellseeker Ascend,UU,Creature - Human Wizard (1/1),"
1U: you reveal cards from the top of your library until you reveal a instant card, put that card into hand, and exile the rest.

Whenever ~this~ is dealt damage, attach target Aura to target artifact creature. (Control of that Aura doesn't change.)","--Every governor can sing
– Vitenka (ascended)",,,,,
Join the Great Beyond ,1WWWU,Sorcery,"
Choose one: target creature with flying can't be blocked until end of turn and return target enchantment to its owner's hand; or untap target library
Entwine 3",,,,,,
This is mine now,2R,Instant,"
Choose one: You and target opponent each untap and gain control of target Wizard the other controls until end of turn. They gain haste until end of turn.; or attach target Equipment to target black creature. (Control of that Equipment doesn't change.)",,,,,,
Chantland spider ,G,Artifact Creature - Spider (1/1),"
Reach

Whenever ~this~ leaves the battlefield, target player may pay 2G. 
If that player does, search your library for a Forest card and put it into the battlefield, then shuffle your library

T: ~this~ gets +3/+3 until end of turn

All lands are enchantments in addition to their other types

At the beginning of your combat phase, target player may return a land card from his or her graveyard to hand","--Every best game may sing
– Anonymous (sic)",,,,,
Attunement of Spells,B,Enchantment,"
When ~this~ is put into a graveyard from the battlefield, target player may pay (U/B). If that player does, destroy target nonSpirit creature

B: regenerate all Zombies and those creatures can't block until end of turn",,,,,,
Water the fields,1UU,Instant,"
Target Plains can't be the target of spells (This effect doesn't end)","--The best wing flees to the proper pear
– Unattributed",,,,,
Skysnapper Dryad,(R/W),Creature - Dryad Druid (2/2),"
4G: destroy all creatures with flying. They can't be regenerated.",,,,,,
"Slithermin, the Bookworm",(R/G),Legendary Creature - Snake (2/2),"
Tap an untapped library you control, Discard a card: put a 3/3 green Snake creature token with trample onto the battlefield",,,,,,
Seize the opportunity,WW,Instant,"
~this~ deals 7 damage to each of two target attacking or blocking creatures

Draw a card.","--Her caption may catch the hope
– The Internet, the wonder dragon",,,,,
Wizards Refuge,UUU,Legendary Enchantment - Aura,"
Enchant permanent

Enchanted permanent gains ''Any player may cast Wizard spells as though they had flash''

Sacrifice a basic land: destroy all lands","--Her quilt proves better than the bravest crate
– Serra of Thunderhead",,,,,
Slip,U,Instant - Arcane,"
Two target creatures get -3/-0 until end of turn",,,,,,
Nyxform Glare,W,Enchantment,"
At the beginning of each player's upkeep, target enchantment is a 2/2 creature in addition to its other types until end of turn. That permanent gains ''protection from green'' until end of turn

Whenever you gain life, you may pay X, where X is the number of Clerics an opponent controls. If you don't, copy target instant spell and you may choose new targets for the copy",,,,,,
Search the Books,R,Sorcery,"
You reveal the top X cards of your library, where X is the number of cards in your hand. You put a sorcery card from among them into hand, and put the rest on top of your library in any order","--Her son made of stone rallies even the best beginner but enlarges even the best donkey
– Nursery Rhyme (Trad.)",,,,,
Collect the Fruit,WUBRG,Instant,"
You reveal the top three cards of your library. You put all land cards from among them into play, and shuffle the rest into your library.","--His territory may catch the stalwart seedling
– Jaya IV",,,,,
Shesa Satallor,4B,Planeswalker - Shesa (Loyalty 5),"
+1: Two target Golems get +1/+1 until end of turn

-2: Draw four cards

-7: All Golems get +4/+4 until end of turn",,,,,,
Shapechange Gargoyle,W,Artifact Creature - Gargoyle (2/1),"
All tapped artifact creatures become Golems

Tap an untapped library you control: Golems you control get +1/+1 until end of turn.","--Her sun collapses even the frame
– Unattributed",,,,,
"Zklav, Caterpillar Overlord",GGGGGG,Legendary Creature - Insect (2/3),"
Discard a card: target player reveals the top three cards of his or her library. That player puts all creature cards from among them into play, and shuffles the rest into his or her library.

All Insects get +2/+3","--His grade sings a single believe yet enlightens even the whispered visitor
Albeit his frog can crush even the bravest doom
– Folk Song (Trad.) (questionable)",,,,,
Charged Golem Factory,3,Artifact,"
Imprint - When ~this~ enters the battlefield, you may exile target instant or sorcery card in your graveyard. (The exiled card is imprinted on this artifact.)
creatures of any of the imprinted card's colours are Forest lands in addition to their other types

U: distribute up to four charge counters on target permanent
4WUU: put a 3/4 Golem artifact creature token onto the battlefield
Discard a card: put a 1/1 Myr artifact creature token onto the battlefield
Pay 4 life: put a 1/4 Golem artifact creature token with haste onto the battlefield for each card type among permanents you control (The card types are artifact, creature, enchantment, instant, land, planeswalker, sorcery and tribal)
T, sacrifice any number of Golems: distribute that many charge counters on target Golem",,,,,,
Kithkin Shonin,GWU,Creature - Kithkin Samurai (2/1),"
Bushido 2

~this~ can block an additional creature",,,,,,
Steal Ember,R,Instant - Arcane,"
Choose one: attach target Equipment to target artifact creature. Gain control of that Equipment until end of turn; or ~this~ deals 2 damage to target creature or player. Creatures damaged this way can't be regenerated this turn",,,,,,
Vine Whip,1GGG,Instant,"
Destroy target creature with flying",,,,,,
Mothers Aid,1,Instant,"
Regenerate target Soldier","--His mother grounds the hugest clover and hunts more profoundly than even the hugest money
– Foucault of Coloni",,,,,
Runaway Seafarer,WU,Creature - Merfolk Rogue (1/3),"
At the beginning of each opponent's upkeep, put a leak counter on target creature
Whenever ~this~ leaves the battlefield, put a leak counter on target creature
WU: put a leak counter on target creature
Whenever a permanent is returned to its owner's hand, target player may Discard a artifact card. If that player doesn't, put a leak counter on target land
Each creature with a leak counter on it can't be blocked
U: target library gains protection from white until end of turn",,,,,,
Mystical Mutiny,U,Sorcery - Generated,"
Attach target Aura to target nonblack creature.Gain control of that Aura until end of turn",,,,,,
Skybinder Elementarc,2U,Artifact Creature - Elemental (1/3),"
All creatures with flying get -3/-0","--The kitten can sprint to the fastest jellyfish
– Nerochip, Wizard of the Marsh, Initiate Dragonlord of the Diamond Wasteland",,,,,
Harvest Fest,GG,Instant,"
Each player may search his or her library for up to four land cards and put them into hand.
Each player who searched his or her library this way shuffles it.",,,,,,
Golemify the Wastes,3UUUUU,Enchantment - Aura,"
Enchant Plains

All Golems become the creature type of your choice

You control enchanted land
",,double,Updraft Dragon,1RRR,Creature - Dragon (1/3),"Flying

Discard a card: target red creature gets +2/+0 until end of turn 

When ~this~ leaves the battlefield, you may Pay 4 life. 
If you do, any number of target red enchantments gain protection from white until end of turn 
and untap those permanents and gain control of them until end of turn. 

All Beasts can't be blocked by more than one creature"
Trick or Treat,W,Sorcery,"
Choose one: each player may search his or her library for up to three land cards and put them into hand. Each player who searched his or her library this way shuffles it.; or search your library for a land card and put it into the battlefield, then shuffle your library",,,,,,
Bookbrush Beast,3G,Creature - Beast (1/1),"
When ~this~ enters the battlefield, untap target library","--His forge guides more destructively than the fastest money
– Shabioci Dryyo, Knight Rebel",,,,,
Manamorhpose but worse,2,Sorcery - Arcane,"
Add RG to your mana pool","--Humanity endures even the mightiest activity and hates bigger than even the stalwart face
– Oshith, Prophet Warrior",,,,,
Literally a Forest without the Types,,Land,"
T: add G to your mana pool",,,,,,
Save the Charm,WU,Instant,"
Return target enchantment card from your graveyard to hand",,,,,,
